Time,X,Y,P
21842,0.2,0.226,0.011
21848,0.2,0.227,0.081
21848,0.2,0.227,0.081
21866,0.2,0.229,0.382
21883,0.199,0.229,0.522
21898,0.2,0.227,0.685
21915,0.201,0.219,0.819
21932,0.203,0.205,0.966
21950,0.206,0.185,1
21965,0.208,0.173,1
21982,0.211,0.159,1
21999,0.213,0.152,1
22017,0.216,0.154,1
22031,0.219,0.164,1
22048,0.222,0.179,1
22065,0.226,0.201,1
22081,0.229,0.216,1
22098,0.231,0.225,0.747
22115,0.23,0.226,0.081
22118,NaN,NaN,NaN
27849,0.374,0.239,0.04
27861,0.374,0.241,0.22
27861,0.374,0.241,0.22
27876,0.374,0.244,0.376
27898,0.374,0.245,0.55
27911,0.374,0.244,0.608
27928,0.375,0.239,0.729
27943,0.375,0.228,0.792
27960,0.376,0.212,0.853
27961,0.376,0.208,0.862
27978,0.376,0.189,0.909
27994,0.374,0.169,0.989
28009,0.372,0.155,1
28026,0.366,0.142,1
28043,0.361,0.138,0.985
28061,0.355,0.141,0.524
28076,0.351,0.153,0.052
28080,0.35,0.156,0.003
28081,NaN,NaN,NaN
28165,0.374,0.279,0.034
28177,0.376,0.284,0.458
28177,0.376,0.284,0.458
28193,0.376,0.287,0.772
28210,0.373,0.285,0.821
28227,0.371,0.282,0.675
28245,0.371,0.279,0.071
28250,0.371,0.278,0.019
28251,NaN,NaN,NaN
34806,0.775,0.228,0.042
34808,0.775,0.227,0.255
34808,0.775,0.227,0.255
34825,0.774,0.221,0.44
34833,0.774,0.214,0.569
34850,0.773,0.199,0.745
34866,0.772,0.188,0.8
34886,0.772,0.176,0.851
34900,0.773,0.173,0.88
34944,0.777,0.194,0.894
34949,0.778,0.201,0.896
34975,0.784,0.228,0.899
34995,0.789,0.249,0.923
35000,0.79,0.251,0.931
35018,0.791,0.248,0.995
35058,0.79,0.209,1
35066,0.79,0.204,1
35083,0.791,0.192,1
35101,0.794,0.189,1
35126,0.799,0.202,1
35150,0.807,0.224,1
35166,0.812,0.232,1
35183,0.816,0.231,1
35200,0.818,0.219,1
35229,0.819,0.195,0.511
35260,0.818,0.189,0.173
35261,0.818,0.186,0.042
35262,NaN,NaN,NaN

